,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Abramovka,51.19,41.02,62.51,30,100,20.45,RU,1601447405
1,Abu Dhabi,24.47,54.37,95.0,17,0,11.41,AE,1601447405
2,Abu Kamal,34.45,40.92,88.84,22,0,8.25,SY,1601447406
3,Acaraú,-2.89,-40.12,78.69,73,87,16.75,BR,1601447406
4,Adrar,20.5,-10.07,84.9,29,0,10.74,MR,1601447407
5,Agogo,6.8,-1.08,70.59,100,100,3.98,GH,1601447408
6,Ahipara,-35.17,173.17,52.11,75,0,6.73,NZ,1601447408
7,Airai,-8.93,125.41,76.14,52,89,5.35,TL,1601447181
8,Aitape,-3.14,142.35,83.73,74,99,6.73,PG,1601447409
9,Aklavik,68.22,-135.01,37.4,86,20,4.7,CA,1601447410
10,Sittwe,20.15,92.9,86.16,73,13,11.86,MM,1601447410
11,Albany,42.6,-73.97,57.0,100,90,3.36,US,1601447136
12,Oleksandrivka,46.84,32.76,62.6,93,75,3.44,UA,1601447411
13,Alice Springs,-23.7,133.88,84.2,21,0,10.29,AU,1601447411
14,Alofi,-19.06,-169.92,77.0,88,0,5.82,NU,1601447411
15,Alta Floresta,-9.88,-56.09,76.28,56,100,3.18,BR,1601447412
16,Amahai,-3.33,128.92,76.84,88,100,6.93,ID,1601447412
17,Amapá,1.0,-52.0,70.97,99,36,1.52,BR,1601447412
18,Ambon City,-3.7,128.18,86.0,74,40,5.82,ID,1601447413
19,Amga,60.9,131.96,47.52,53,64,0.81,RU,1601447413
20,Amherst,41.4,-82.22,54.0,75,40,6.93,US,1601447407
21,Ampanihy,-24.7,44.75,77.04,61,89,10.69,MG,1601447414
22,Ancud,-41.87,-73.82,39.99,86,57,5.82,CL,1601447390
23,Andenes,69.31,16.12,50.0,100,90,8.05,NO,1601447414
24,Ankang,32.68,109.02,77.41,56,98,7.38,CN,1601447415
25,Antalaha,-14.9,50.28,78.49,77,74,6.85,MG,1601447415
26,Antofagasta,-23.65,-70.4,57.2,82,90,8.05,CL,1601447415
27,Aquiraz,-3.9,-38.39,78.8,74,40,14.99,BR,1601447416
28,Araouane,18.9,-3.53,90.52,19,4,6.64,ML,1601447340
29,Ariquemes,-9.91,-63.04,74.66,90,94,2.01,BR,1601447416
30,Arlit,18.74,7.39,92.82,11,0,2.86,NE,1601447416
31,Arraial do Cabo,-22.97,-42.03,72.79,91,36,10.27,BR,1601447417
32,Asău,46.43,26.4,51.01,93,100,9.75,RO,1601447170
33,Atuona,-9.8,-139.03,78.69,75,3,22.66,PF,1601447418
34,Auchi,7.07,6.27,73.36,95,100,2.82,NG,1601447450
35,Auki,-8.77,160.7,81.64,80,37,6.78,SB,1601447450
36,Avarua,-21.21,-159.78,75.2,88,11,19.46,CK,1601447451
37,Avera,33.19,-82.53,57.2,71,1,8.05,US,1601447451
38,Aykhal,66.0,111.5,30.2,50,20,6.71,RU,1601447274
39,Bac Lieu,9.29,105.72,89.85,62,71,11.39,VN,1601447368
40,Baijiantan,45.63,85.18,59.07,33,0,10.49,CN,1601447452
41,Bairiki Village,1.33,172.98,82.4,78,20,9.17,KI,1601447452
42,Balabac,7.99,117.06,85.23,71,4,8.97,PH,1601447452
43,Balakhta,55.38,91.6,40.59,65,99,4.99,RU,1601447453
44,Balikpapan,-1.27,116.83,84.49,68,51,9.33,ID,1601447453
45,Balkhash,46.84,74.98,50.0,31,0,22.37,KZ,1601447453
46,Balyaga,51.15,108.92,49.78,49,100,10.36,RU,1601447454
47,Bambanglipuro,-7.95,110.28,88.0,50,41,15.43,ID,1601447454
48,Bambous Virieux,-20.34,57.76,75.2,78,75,12.75,MU,1601447455
49,Banda Aceh,5.56,95.32,85.03,67,75,7.87,ID,1601447455
50,Bandarbeyla,9.49,50.81,82.09,66,65,20.31,SO,1601447271
51,Bandi̇̄pur,27.93,84.42,80.89,70,31,3.44,NP,1601447456
52,Banepā,27.63,85.52,84.2,58,40,4.7,NP,1601447456
53,Baoqing,46.33,132.21,57.49,54,9,7.2,CN,1601447456
54,Bara,10.37,10.73,72.5,88,100,8.41,NG,1601447457
55,Barcelos,41.54,-8.62,55.99,100,0,3.24,PT,1601447457
56,Barra,-11.09,-43.14,71.83,64,0,7.56,BR,1601447457
57,Barrow,71.29,-156.79,32.0,98,90,10.29,US,1601447402
58,Batagay-Alyta,67.8,130.41,33.13,77,100,16.35,RU,1601447458
59,Bathsheba,13.22,-59.52,82.4,83,20,25.28,BB,1601447458
60,Båtsfjord,70.63,29.72,50.0,87,75,4.7,NO,1601447458
61,Beba,22.44,-79.73,75.2,94,40,2.24,CU,1601447459
62,Begūn,24.98,75.0,90.9,36,15,6.26,IN,1601447459
63,Beïnamar,8.67,15.38,72.54,94,100,3.22,TD,1601447459
64,Belaya Glina,46.07,40.86,68.0,35,100,27.65,RU,1601447459
65,Beloha,-25.17,45.05,77.95,62,98,12.59,MG,1601447460
66,Belyy Yar,53.6,91.39,44.6,45,20,8.95,RU,1601447460
67,Bengkulu,-3.8,102.27,87.87,59,0,13.96,ID,1601447461
68,Bereda,43.27,-7.54,50.0,100,71,1.74,ES,1601447461
69,Beringovskiy,63.05,179.32,40.78,76,0,5.21,RU,1601447462
70,Berlevåg,70.86,29.09,50.0,87,75,6.93,NO,1601447462
71,Bethel,41.37,-73.41,70.0,98,100,1.99,US,1601447351
72,Bhādra,29.12,75.17,98.62,14,0,9.13,IN,1601447462
73,Bicester,51.9,-1.15,48.0,100,100,1.12,GB,1601447463
74,Bichura,50.59,107.6,48.67,54,100,11.86,RU,1601447463
75,Bilibino,68.05,166.44,32.58,91,91,3.2,RU,1601447463
76,Bilma,18.69,12.92,89.11,12,28,11.41,NE,1601447464
77,Birjand,32.87,59.22,62.6,13,40,4.7,IR,1601447464
78,Blind River,46.18,-82.96,51.8,81,75,5.82,CA,1601447464
79,Bluff,-46.6,168.33,48.99,84,93,5.99,NZ,1601447465
80,Boa Vista,2.82,-60.67,78.8,74,53,4.7,BR,1601447465
81,Bodden Town,19.28,-81.25,82.99,82,85,8.12,KY,1601447465
82,Bodmin,50.47,-4.72,55.4,93,100,17.22,GB,1601447465
83,Bogatynia,50.91,14.96,52.0,92,62,4.52,PL,1601447466
84,Boguchany,58.38,97.45,41.47,60,30,7.14,RU,1601447466
85,Bom Jesus,-9.07,-44.36,72.46,46,0,2.68,BR,1601447467
86,Mumbai,19.01,72.85,87.8,62,40,6.93,IN,1601447400
87,Bonavista,48.65,-53.11,60.96,92,85,15.32,CA,1601447467
88,Bontang,0.13,117.5,83.93,70,5,8.08,ID,1601447412
89,Bourail,-21.57,165.48,66.49,68,38,13.51,NC,1601447468
90,Brae,60.4,-1.35,51.8,81,20,21.92,GB,1601447468
91,Bredasdorp,-34.53,20.04,51.8,87,19,2.24,ZA,1601447185
92,Broken Hill,-31.95,141.43,69.8,43,54,16.11,AU,1601447354
93,Distrikt Brokopondo,4.75,-55.17,77.34,84,100,6.38,SR,1601447469
94,Buala,-8.14,159.59,82.11,73,47,4.29,SB,1601447469
95,Bukachacha,52.98,116.92,52.11,46,48,4.54,RU,1601447469
96,Buluang,13.31,123.34,87.06,66,100,5.21,PH,1601447470
97,Bundibugyo,0.74,30.04,76.55,65,97,3.42,UG,1601447470
98,Buraidah,26.33,43.98,86.0,30,0,5.82,SA,1601447281
99,Burnie,-41.07,145.92,55.0,89,100,13.0,AU,1601447241
100,Busselton,-33.65,115.33,64.0,80,100,4.0,AU,1601447471
101,Butaritari,3.07,172.79,82.35,76,0,10.42,KI,1601447472
102,Cabo San Lucas,22.89,-109.91,82.0,69,0,1.66,MX,1601447472
103,Caconda,-13.73,15.07,73.26,40,100,2.44,AO,1601447472
104,Calabozo,8.92,-67.43,73.09,95,6,3.89,VE,1601447473
105,Calama,-22.47,-68.93,42.8,28,0,18.34,CL,1601447473
106,Calceta,-0.85,-80.17,71.6,83,90,11.41,EC,1601447473
107,Camaçari,-12.7,-38.32,77.0,78,40,10.29,BR,1601447474
108,Canala,-21.53,165.95,69.8,56,89,23.04,NC,1601447474
109,Canutama,-6.53,-64.38,72.5,94,100,0.22,BR,1601447474
110,Cap Malheureux,-19.98,57.61,75.0,70,19,10.0,MU,1601447464
111,Cape Coast,5.11,-1.25,76.37,90,100,9.26,GH,1601447475
112,Cape Town,-33.93,18.42,60.01,71,27,3.36,ZA,1601447222
113,Carandaí,-20.95,-43.81,64.09,95,20,5.19,BR,1601447475
114,Caravelas,-17.71,-39.25,71.65,91,26,4.47,BR,1601447476
115,Carinhanha,-14.3,-43.77,71.85,58,0,6.38,BR,1601447476
116,Carlton,45.29,-123.18,60.01,93,1,1.59,US,1601447476
117,Carnarvon,-24.87,113.63,75.2,64,0,20.8,AU,1601447477
118,Carutapera,-1.2,-46.02,77.67,84,0,8.59,BR,1601447477
119,Castro,-24.79,-50.01,61.16,91,11,3.44,BR,1601447466
120,Catanduva,-21.14,-48.97,80.6,32,35,5.82,BR,1601447259
121,Cayenne,4.93,-52.33,73.4,100,20,5.95,GF,1601447406
122,Chabahar,25.29,60.64,89.6,62,20,11.41,IR,1601447478
123,Champerico,14.3,-91.92,64.99,96,99,4.54,GT,1601447478
124,Charleston,32.78,-79.93,62.6,93,20,6.93,US,1601447233
125,Charters Towers,-20.1,146.27,82.51,35,0,14.09,AU,1601447479
126,Cherskiy,68.75,161.3,41.83,67,62,10.36,RU,1601447479
127,Chhātak,25.03,91.67,92.62,59,88,2.8,BD,1601447480
128,Chicama,-7.84,-79.15,63.27,78,96,3.91,PE,1601447480
129,Chimbote,-9.09,-78.58,60.37,89,99,6.64,PE,1601447480
130,Chingirlau,51.09,54.08,64.62,39,0,8.86,KZ,1601447481
131,Chiredzi,-21.05,31.67,69.66,85,100,9.84,ZW,1601447481
132,Chlórakas,34.8,32.41,80.6,74,0,13.87,CY,1601447481
133,Chokurdakh,70.63,147.92,42.21,96,100,10.45,RU,1601447420
134,Christchurch,-43.53,172.63,55.4,37,0,5.82,NZ,1601447212
135,Chui,-33.7,-53.46,51.04,94,0,4.68,UY,1601447361
136,Cidreira,-30.18,-50.21,61.54,93,90,7.2,BR,1601447482
137,Ciudad Bolivar,8.12,-63.55,76.5,86,51,8.5,VE,1601447482
138,Clearwater,27.97,-82.8,69.8,72,90,8.05,US,1601447427
139,Clemson,34.68,-82.84,53.01,81,1,9.17,US,1601447420
140,Clyde River,70.47,-68.59,26.6,92,90,12.75,CA,1601447430
141,Cockburn Town,21.46,-71.14,84.24,77,100,17.83,TC,1601447483
142,Codrington,-38.27,141.97,55.17,87,100,12.71,AU,1601447484
143,Colinas,-6.03,-44.25,74.08,82,96,0.74,BR,1601447484
144,Collie,-33.37,116.15,61.0,78,100,13.0,AU,1601447484
145,Comodoro Rivadavia,-45.87,-67.5,39.2,59,0,13.87,AR,1601447485
